RF02543	2921069	Eukaryotic large subunit ribosomal RNA
RF01960	2186113	Eukaryotic small subunit ribosomal RNA
RF00002	1175557	5.8S ribosomal RNA
RF00005	243942	tRNA
RF02540	200349	Archaeal large subunit ribosomal RNA
RF02541	168750	Bacterial large subunit ribosomal RNA
RF02542	158495	Microsporidia small subunit ribosomal RNA
RF00177	81830	Bacterial small subunit ribosomal RNA
RF02975	64145	DUF3800-XI RNA
RF00001	58481	5S ribosomal RNA
RF01959	43017	Archaeal small subunit ribosomal RNA
RF01506	17078	A. fumigatus snoRNA Afu_294
RF00274	16541	Small nucleolar RNA SNORD57
RF00023	10963	transfer-messenger RNA
RF01543	9149	Trypanosomatid snoRNA TB11Cs5H2
RF00032	7417	Histone 3' UTR stem-loop
RF01850	6710	Betaproteobacteria transfer-messenger RNA
RF00358	6161	Small nucleolar RNA Z101
RF01860	3540	A. fumigatus snoRNA Afu_455
RF00003	3489	U1 spliceosomal RNA
RF01550	3458	Trypanosomatid snoRNA TB8Cs3H1
RF01716	2917	PhotoRC-I RNA
RF01684	2883	MALAT1-associated small cytoplasmic RNA/MEN beta RNA
RF03937	2165	mir-9456 microRNA precursor family
RF01855	2075	Plant signal recognition particle RNA
RF01702	1796	Cyano-2 RNA
RF03092	1776	Ocean-VII RNA
RF03357	1719	mir-1842 microRNA precursor family
RF00440	1489	Small nucleolar RNA SNORD37
RF00377	1479	Small nucleolar RNA U6-53/MBII-28
RF01847	1180	Plant small nucleolar RNA U3
RF00489	1179	ctRNA
RF01074	1108	Putative RNA-dependent RNA polymerase ribosomal frameshift site
RF01973	1016	H19 conserved region 2
RF02942	1003	Clostridiales-3 RNA
RF00467	977	Rous sarcoma virus (RSV) primer binding site (PBS)
RF01499	880	A. fumigatus snoRNA Afu_191
RF01184	797	Small nucleolar RNA snR79
RF02940	785	COG3860 RNA
RF00015	765	U4 spliceosomal RNA
RF01849	736	Alphaproteobacteria transfer-messenger RNA
RF00096	720	U8 small nucleolar RNA
RF02886	653	Mycobacterium sRNA 6715
RF01851	639	Cyanobacteria transfer-messenger RNA
RF01072	575	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01846	440	Fungal small nucleolar RNA U3
RF02147	428	Maternally expressed 8 exon 3
RF03031	419	ssnA RNA
RF01687	392	Acido-Lenti-1 RNA
RF02359	383	Bacteriophage MS2 operator hairpin
RF02914	382	DUF805b RNA
RF01131	379	Small nucleolar RNA sR47
RF03838	378	MIR8032 microRNA precursor family
RF00255	369	mir-218 microRNA precursor family
RF00325	348	Small nucleolar RNA SNORD53/SNORD92
RF02695	343	Nitrogen regulated small RNA
RF00350	312	Small nucleolar RNA Z152/R70/R12/
RF01933	294	Bithoraxoid conserved region 5
RF00859	293	microRNA mir-234
RF02223	283	Proteobacterial sRNA sX4
RF00157	258	Small nucleolar RNA SNORD55/SNORD39
RF00026	242	U6 spliceosomal RNA
RF01834	237	ribosomal frameshift site
RF03163	234	a1, b1 targets of C4 antisense RNA
RF01304	226	Small nucleolar RNA sR5
RF01880	221	X-chromosome inactivation gene exon 1
RF02463	205	Mycobacterium sRNA Ms_AS-1
RF01059	195	microRNA mir-598
RF03071	191	Na+ riboswitch aptamer (DUF1646)
RF02840	183	Enterococcus sRNA 68 (Lacto-3 RNA)
RF02286	167	Tetrahymena snoRNA TtnuCD9
RF00016	165	Small nucleolar RNA SNORD14
RF02224	158	Xanthomonadaceae sRNA sX5
RF03157	148	L31-Gammaproteobacteria ribosomal protein leader
RF02401	147	ClpQY promoter
RF03847	143	mir-1538 microRNA precursor family
RF01852	141	Selenocysteine transfer RNA
RF01306	141	Small nucleolar RNA sR52
RF01704	137	Glutamine-II riboswitch aptamer
RF02003	130	Group II catalytic intron D1-D4-4
RF00030	129	RNase MRP
RF01424	128	small nucleolar RNA snoR118
RF01668	125	Pseudomonas sRNA P10
RF00646	117	microRNA mir-204
RF00075	112	mir-166 microRNA precursor
RF02295	109	Tetrahymena snoRNA TtnuCD19
RF02291	109	Tetrahymena snoRNA TtnuCD15
RF02753	107	ES173 sRNA
RF00357	107	Small nucleolar RNA R44/J54/Z268 family
RF00349	107	Small nucleolar RNA R11/Z151
RF00204	103	Small nucleolar RNA R12
RF01430	101	small nucleolar RNA snoR134
RF00333	101	Small nucleolar RNA Z157/R69/R10
RF01108	99	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF00360	98	Small nucleolar RNA Z107/R87
RF01977	97	HOX antisense intergenic RNA myeloid 1 conserved region 3
RF01300	97	Small nucleolar RNA U49
RF01193	97	Small nucleolar RNA snoR20a
RF01792	95	ribosomal frameshift site
RF00506	95	Threonine operon leader
RF00149	92	Small nucleolar RNA Z103
RF01431	88	small nucleolar RNA snoR135
RF02186	82	ST7 overlapping transcript 3 conserved region 4
RF00004	81	U2 spliceosomal RNA
RF01726	80	SAM-II riboswitch aptamer (SAM-II long loop)
RF00010	80	Bacterial RNase P class A
RF01575	79	Dictyostelium snoRNA Dd7
RF00160	79	Small nucleolar RNA Z159/U59
RF04000	77	MIR8139 microRNA precursor family
RF00498	77	Equine arteritis virus leader TRS hairpin (LTH)
RF01785	76	ribosomal frameshift site
RF00180	73	Renin stability regulatory element (REN-SRE)
RF00049	73	Small nucleolar RNA SNORD36
RF00330	72	Small nucleolar RNA Z43
RF01170	71	Small nucleolar RNA U61
RF00345	71	Small nucleolar RNA snoR1
RF03050	68	RAGATH-25 RNA
RF02922	67	RAGATH-32 RNA
RF02129	67	GNAS antisense RNA 1 conserved region 3
RF00767	66	microRNA mir-150
RF01346	65	CRISPR RNA direct repeat element
RF00270	65	Small nucleolar RNA SNORD61
RF00132	65	Small nucleolar RNA R24
RF00020	65	U5 spliceosomal RNA
RF02263	62	MAT2A 3'UTR stem loop D
RF01753	61	psbNH RNA
RF01106	61	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF00203	61	Small nucleolar RNA R160
RF02144	60	rsmX
RF01302	60	SnoRNA U36a
RF00657	60	microRNA mir-184
RF00054	60	Small nucleolar RNA SNORD25
RF01707	59	JUMPstart RNA
RF00309	59	Small nucleolar RNA snR60/Z15/Z230/Z193/J17
RF01144	58	Small nucleolar RNA sR17
RF00205	58	Small nucleolar RNA R41
RF00140	58	Alpha operon ribosome binding site
RF01833	56	ribosomal frameshift site
RF01159	55	Small nucleolar RNA U18
RF03142	52	L2-Alphaproteobacteria ribosomal protein leader
RF02470	52	Mycobacterium sRNA Ms_IGR-8
RF01197	52	Small nucleolar RNA snR39
RF00080	52	Manganese Mn2+ riboswitch aptamer (yybP-ykoY)
RF01514	51	A. fumigatus snoRNA Afu_513
RF00323	51	Small nucleolar RNA R79
RF00337	50	Small nucleolar RNA Z112
RF00169	50	Bacterial small signal recognition particle RNA
RF00151	48	Small nucleolar RNA SNORD58
RF01299	47	Small nucleolar RNA SNORD2
RF01219	46	Small nucleolar RNA snoR100
RF00339	46	Small nucleolar RNA snoR60
RF00289	46	Small nucleolar RNA SNORD104
RF02702	44	Anti GcvB sRNA
RF04096	43	mir-4433 microRNA precursor family
RF02410	43	Small nucleolar RNA snoR136
RF01280	43	Small nucleolar RNA snoR14
RF00133	43	Small nucleolar RNA Z195/SNORD33/SNORD32 family
RF00039	43	DicF RNA
RF01857	42	Archaeal signal recognition particle RNA
RF02551	40	ABC transporter regulator
RF01134	40	Small nucleolar RNA sR30
RF03406	39	mir-3099 microRNA precursor family
RF02896	39	Staphylococcus sRNA 774
RF01149	39	Small nucleolar RNA sR10
RF00135	39	Small nucleolar RNA Z223
RF00046	39	Small nucleolar RNA R30/Z108
RF03948	38	mir-5045 microRNA precursor family
RF01423	38	small nucleolar RNA snoR117
RF00619	38	U6atac minor spliceosomal RNA
RF00517	38	serC leader
RF01334	35	CRISPR RNA direct repeat element
RF01104	35	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF00379	35	c-di-AMP riboswitch aptamer (ydaO/yuaA leader)
RF02194	34	Bacterial antisense RNA HPnc0260
RF01739	34	Glutamine riboswitch aptamer (glnA leader)
RF00604	34	Small nucleolar RNA SNORD88
RF00186	34	Small nucleolar RNA SNORD101
RF00055	34	Small nucleolar RNA SNORD96 family
RF04240	33	mir-4716 microRNA precursor family
RF00571	33	Small nucleolar RNA SNORD65
RF00300	33	Small nucleolar RNA Z221/R21b
RF02795	32	Pab91 RNA
RF02553	32	Y RNA-like
RF01762	32	Whalefall-1 RNA
RF01675	32	Pseudomonas sRNA CrcZ
RF01428	32	small nucleolar RNA snoR128
RF03301	31	mir-3154 microRNA precursor family
RF03010	31	mcrA RNA
RF01295	31	Small Cajal body-specific RNA 7
RF01126	31	Small nucleolar RNA sR41
RF01022	31	microRNA mir-611
RF00825	31	mir-344 microRNA precursor family
RF03837	30	mir-3138 microRNA precursor family
RF01386	29	isrB Hfq binding RNA
RF01382	29	HIV-1 stem-loop 4 packaging signal
RF00093	29	Small nucleolar RNA SNORD18
RF00069	29	Small nucleolar RNA SNORD24
RF00658	28	microRNA mir-21
RF00280	28	Small nucleolar RNA SNORD51
RF00134	28	Small nucleolar RNA Z196/R39/R59 family
RF02691	27	Burkholderia sRNA 19
RF01178	27	Small nucleolar RNA snoR77Y
RF00476	27	Small nucleolar RNA snR61/Z1/Z11
RF00168	27	Lysine riboswitch aptamer
RF01934	26	Bithoraxoid conserved region 6
RF01840	26	ribosomal frameshift element
RF01309	26	Small nucleolar RNA sR60
RF01230	26	Small nucleolar RNA snoR77
RF01145	26	Small nucleolar RNA sR14
RF01130	26	Small nucleolar RNA sR46
RF00523	26	Prion pseudoknot
RF00277	26	Small nucleolar RNA SNORD49
RF01284	25	Small nucleolar RNA snoR8a
RF01185	25	Small nucleolar RNA snR75
RF01101	25	Pseudoknot of tRNA-like structure
RF01064	25	microRNA mir-253
RF00282	25	Small nucleolar RNA SNORD48
RF03827	24	mir-2229 microRNA precursor family
RF03417	24	mir-343 microRNA precursor family
RF03307	24	mir-1825 microRNA precursor family
RF01794	24	sok antitoxin (CssrC)
RF01519	24	Caulobacter sRNA CC0196
RF01296	24	Small nucleolar RNA U85
RF00448	24	Epstein-Barr virus nuclear antigen (EBNA) IRES
RF04305	23	Hepatitis C virus stem-loop SL1412 RNA
RF03037	23	PAGEV RNA
RF02913	23	pemK RNA
RF01652	23	Caenorhabditis snoRNA ceN70
RF01356	23	CRISPR RNA direct repeat element
RF02349	22	Proteobacterial sRNA psRNA2
RF01856	22	Protozoan signal recognition particle RNA
RF01292	22	Small nucleolar RNA snoR2/U65
RF00638	22	microRNA MIR159
RF03139	21	S4-Bacteroidia ribosomal protein leader
RF03090	21	lysM-Actino RNA
RF02539	21	Plant small nucleolar RNA SNOR75
RF01613	21	Nematode snoRNA ceN109
RF00472	21	Small nucleolar RNA snR55/Z10
RF00457	21	Mnt IRES
RF00029	21	Group II catalytic intron
RF04277	20	mir-1268 microRNA precursor family
RF01866	20	C. elegans snoRNA ceN33
RF01854	20	Bacterial large signal recognition particle RNA
RF01734	20	Fluoride riboswitch aptamer (crcB RNA motif)
RF01303	20	Small nucleolar RNA sR49
RF01215	20	Small nucleolar RNA snoR97
RF01206	20	Small nucleolar RNA snoR109
RF01181	20	Small nucleolar RNA snR77
RF00328	20	Small nucleolar RNA Z161/Z228
RF00200	20	Small nucleolar RNA Z199
RF04218	19	Hepatitis C virus stem-loop I
RF03790	19	MIR8008 microRNA precursor family
RF02182	19	ST7 antisense RNA 2 conserved region 2
RF01224	19	Small nucleolar RNA snoR80
RF01179	19	Small nucleolar RNA U83
RF00454	19	p27 cis-regulatory element
RF00343	19	Small nucleolar RNA Z122
RF03228	18	mir-1471 microRNA precursor family
RF02807	18	Pyrobaculum sRNA 209
RF02685	18	RAGATH-5 RNA
RF02289	18	Tetrahymena snoRNA TtnuCD13
RF02288	18	Tetrahymena snoRNA TtnuCD11
RF01848	18	ACEA small nucleolar RNA U3
RF01323	18	CRISPR RNA direct repeat element
RF01285	18	Small nucleolar RNA U31b
RF01279	18	Small nucleolar RNA snoR53Y
RF04132	17	mir-4436 microRNA precursor family
RF02808	17	Pyrobaculum sRNA 210
RF00884	17	microRNA MIR815
RF00683	17	microRNA mir-143
RF00303	17	Small nucleolar RNA snoR86
RF00011	17	Bacterial RNase P class B
RF03302	16	mir-6133 microRNA precursor family
RF01433	16	small nucleolar RNA snoR137
RF01420	16	Small nucleolar RNA snoR113
RF01232	16	Small nucleolar RNA R442
RF01125	16	Small nucleolar RNA sR4
RF00017	16	Metazoan signal recognition particle RNA
RF03707	15	mir-1892 microRNA precursor family
RF02939	15	COG2908 RNA
RF02272	15	Vax2os1 conserved region 3
RF01986	15	ZEB2 antisense RNA 1 conserved region 3
RF01315	15	CRISPR RNA direct repeat element
RF01209	15	Small nucleolar RNA snR76
RF01124	15	Small nucleolar RNA sR36
RF00296	15	Small nucleolar RNA R16
RF00202	15	Small nucleolar RNA R66
RF00086	15	Small nucleolar RNA SNORD27
RF00052	15	lin-4 microRNA precursor
RF03196	14	mir-6790 microRNA precursor family
RF03086	14	chrB-b RNA
RF02850	14	Yersinia sRNA 276
RF02595	14	Epstein-Barr virus stable intronic sequence RNA 1
RF02448	14	Streptococcus sRNA SpR20
RF02285	14	Tetrahymena snoRNA TtnuCD8
RF02153	14	Neighbour of BRCA1 gene 2 converved region
RF01347	14	CRISPR RNA direct repeat element
RF03994	13	mir-7558 microRNA precursor family
RF02929	13	algC RNA
RF02639	13	Enterococcus sRNA EF0869_EF0870
RF02465	13	Mycobacterium sRNA Ms_AS-5
RF02162	13	XIST RNA A repeat
RF01985	13	ZEB2 antisense RNA 1 conserved region 2
RF01322	13	CRISPR RNA direct repeat element
RF00592	13	Small nucleolar RNA SNORD78
RF00226	13	n-myc internal ribosome entry site (IRES)
RF00145	13	Small nucleolar RNA Z105
RF03111	12	Zeta-pan RNA
RF02684	12	Type-P5 twister ribozyme
RF02673	12	Streptomyces sRNA 4677
RF01426	12	small nucleolar RNA snoR126
RF01394	12	isrK Hfq binding RNA
RF01231	12	Small nucleolar RNA snoR74
RF00381	12	Antizyme RNA frameshifting stimulation element
RF00315	12	Small nucleolar RNA J33
RF00295	12	Small nucleolar RNA TBR7
RF00284	12	Small nucleolar RNA SNORD74
RF00267	12	Small nucleolar RNA R64/Z200 family
RF00012	12	Small nucleolar RNA U3
RF00007	12	U12 minor spliceosomal RNA
RF04052	11	mir-466 microRNA precursor family
RF03012	11	Mu-gpT-DE RNA
RF02596	11	Cyanobacteria heterocyst sRNA
RF02044	11	CDKN2B antisense RNA 1 convserved region 2
RF01381	11	HIV-1 stem-loop 3 Psi packaging signal
RF01360	11	CRISPR RNA direct repeat element
RF01305	11	Small nucleolar RNA sR51
RF00814	11	microRNA mir-316
RF03030	10	salivarius-1 RNA
RF02476	10	Small nucleolar RNA GlsR7
RF01924	10	microRNA mir-2774
RF01698	10	Chloroflexi-1 RNA
RF01330	10	CRISPR RNA direct repeat element
RF01213	10	Small nucleolar RNA snoR103
RF01208	10	Small nucleolar RNA snoR99
RF01139	10	Small nucleolar RNA sR2
RF00593	10	Small nucleolar RNA U83B
RF00359	10	Small nucleolar RNA Z102/R77
RF00174	10	Cobalamin riboswitch aptamer
RF00095	10	Pyrococcus C/D box small nucleolar RNA
RF03543	9	Insect-Specific Flavivirus 3' UTR repeats Rb
RF03121	9	Alphacoronavirus 3'UTR
RF01748	9	nuoG RNA
RF01335	9	CRISPR RNA direct repeat element
RF01151	9	Small nucleolar RNA U82P
RF01099	9	Pseudoknot of influenza A virus gene
RF00954	9	MIR1446 microRNA precursor family
RF04209	8	MIR7533 microRNA precursor family
RF04037	8	mir-7911 microRNA precursor family
RF03938	8	mir-4662 microRNA precursor family
RF03872	8	MIR6426 microRNA precursor family
RF03871	8	mir-5681 microRNA precursor family
RF03462	8	mir-4677 microRNA precursor family
RF03060	8	uup RNA
RF03001	8	leuA-Halobacteria RNA
RF02793	8	Pyrobaculum asRNA3
RF02516	8	mir-393 microRNA precursor family
RF02444	8	Streptococcus sRNA SpR10
RF02398	8	Staphylococcus sRNA sau-6072
RF01904	8	HOTAIR conserved region 1
RF01727	8	SAM/SAH riboswitch aptamer
RF01422	8	small nucleolar RNA snoR116
RF01155	8	Small nucleolar RNA snoR101
RF01138	8	Small nucleolar RNA sR23
RF01093	8	Ma3 gene ribosomal frameshift signal
RF00842	8	microRNA MIR403
RF00690	8	microRNA MIR408
RF00656	8	microRNA mir-205
RF00645	8	microRNA MIR169_2
RF00452	8	mir-172 microRNA precursor family
RF00389	8	Bamboo mosaic virus satellite RNA cis-regulatory element
RF00067	8	Small nucleolar RNA SNORD15
RF04183	7	Bacteroidales small SRP
RF03861	7	mir-4484 microRNA precursor family
RF03849	7	MIR1219 microRNA precursor family
RF03437	7	mir-2392 microRNA precursor family
RF03023	7	rpfG RNA
RF02279	7	Tetrahymena snoRNA TtnuCD1
RF02247	7	Six3os1 conserved region 2
RF01319	7	CRISPR RNA direct repeat element
RF01307	7	Small nucleolar RNA sR55
RF01173	7	Small nucleolar RNA U105B
RF01136	7	Small nucleolar RNA sR28
RF01135	7	Small nucleolar RNA sR24
RF01015	7	microRNA mir-885
RF00229	7	Picornavirus internal ribosome entry site (IRES)
RF04217	6	mir-297 microRNA precursor family
RF04193	6	mir-51 microRNA precursor family
RF04083	6	MIR528 microRNA precursor family
RF03885	6	mir-4178 microRNA precursor family
RF03764	6	mir-647 microRNA precursor family
RF03561	6	mir-3533 microRNA precursor family
RF03537	6	Tick-borne Flavivirus short stem-loop SL6
RF03483	6	MIR319 microRNA precursor family
RF03093	6	queA RNA
RF03036	6	osmY RNA
RF03008	6	malK-II RNA
RF02784	6	Singlet oxygen resistance RNA X
RF02765	6	Yersinia sRNA 209
RF02409	6	Small nucleolar RNA snoR125
RF02273	6	FsrA
RF02226	6	Xanthomonas sRNA sX7
RF02125	6	JPX transcript, XIST activator conserved region 2
RF02119	6	FTX transcript, XIST regulator conserved region 1
RF01874	6	Myocardial infarction associated transcript exon 1
RF01803	6	Editing element of GABA-3 exon 9
RF01572	6	Dictyostelium snoRNA DdR4
RF01553	6	Trypanosomatid snoRNA TB9Cs1H3
RF01417	6	Retroviral 3'UTR stability element
RF01357	6	CRISPR RNA direct repeat element
RF01339	6	CRISPR RNA direct repeat element
RF01308	6	Small nucleolar RNA sR58
RF01240	6	Small nucleolar RNA snR85
RF01188	6	Small nucleolar RNA snR56
RF01123	6	Small nucleolar RNA sR35
RF01121	6	Small nucleolar RNA sR38
RF00757	6	microRNA mir-275
RF00752	6	microRNA mir-14
RF00532	6	Small nucleolar RNA Me18S-Um1356
RF00521	6	Alpha-proteobacteria SAM riboswitch aptamer
RF00478	6	Small Cajal body specific RNA 6
RF00459	6	Mason-Pfizer monkey virus packaging signal
RF00390	6	UPSK RNA
RF00332	6	Small nucleolar RNA Z266
RF00272	6	Small nucleolar RNA SNORA67
RF00247	6	mir-160 microRNA precursor family
RF00206	6	Small nucleolar RNA U54
RF00100	6	7SK RNA
RF03541	5	Insect-specific Flavivirus exoribonuclease-resistant RNA element
RF03523	5	mir-4703 microRNA precursor family
RF03456	5	mir-724 microRNA precursor family
RF03336	5	mir-1322 microRNA precursor family
RF02878	5	Mesorhizobail RNA 7
RF02174	5	SMAD5 antisense RNA 1 conserved region 2
RF01678	5	Pseudomonas sRNA P37
RF01642	5	Caenorhabditis snoRNA ceN54
RF01549	5	Trypanosomatid snoRNA TB8Cs2H1
RF01502	5	Fungal signal recognition particle RNA
RF01497	5	ALIL pseudoknot
RF01338	5	CRISPR RNA direct repeat element
RF01286	5	Small nucleolar RNA snoR26
RF01163	5	Small nucleolar RNA snoR64a
RF01081	5	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01006	5	microRNA mir-601
RF00829	5	microRNA mir-149
RF00811	5	microRNA mir-84
RF00749	5	microRNA mir-208
RF00736	5	mir-320 microRNA precursor family
RF00732	5	microRNA mir-305
RF00705	5	microRNA mir-202
RF00677	5	microRNA MIR168
RF00648	5	microRNA MIR396
RF00609	5	Small nucleolar RNA SNORD100
RF00268	5	Small nucleolar RNA snoZ7/snoR77
RF00241	5	mir-8/mir-141/mir-200 microRNA precursor family
RF00175	5	Human immunodeficiency virus type 1 dimerisation initiation site
RF00103	5	mir-1 microRNA precursor family
RF00070	5	Small nucleolar RNA SNORD29
RF00066	5	U7 small nuclear RNA
RF04303	4	MIR162_2 microRNA precursor family
RF04175	4	mir-1260b microRNA precursor family
RF04163	4	mir-8364 microRNA precursor family
RF04025	4	mir-7964 microRNA precursor family
RF04001	4	mir-7918 microRNA precursor family
RF03854	4	mir-1949 microRNA precursor family
RF03834	4	mir-3173 microRNA precursor family
RF03811	4	mir-1896 microRNA precursor family
RF03725	4	mir-7094 microRNA precursor family
RF03421	4	mir-2558 microRNA precursor family
RF03416	4	mir-7383 microRNA precursor family
RF03315	4	mir-723 microRNA precursor family
RF03267	4	mir-645 microRNA precursor family
RF03207	4	mir-3960 microRNA precursor family
